,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,October,Year to Date (to October),Year to Date (to October),Year to Date (to October),Year to Date (to October),2020 Financial Year,2020 Financial Year,2020 Financial Year,2020 Financial Year,Whole of Life,Whole of Life,Whole of Life,Whole of Life
EXPENSES.PSBI,TOTAL EXPENSES,5858,Cecile Paris,R-91279,Group - Knowledge Discovery & Management,"29,050","136,755","114,073","22,682",,"406,934","114,073","292,862",,"406,934","114,073","292,862",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,"8,000","-8,000",,,"8,000","-8,000",,"119,060","131,392","-12,332",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,"3,362","14,011","13,339",672,,"41,694","13,339","28,354",,"132,434","105,361","27,073",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,"20,180","84,003","83,759",243,,"249,959","83,759","166,200",,"754,511","403,926","350,585",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-11916,Transferable Integrated tools for the cl,"21,458","37,317","41,380","-4,063",,"111,037","41,380","69,657",0.00,"350,845","143,037","207,809",0.00
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,"25,322","58,287","64,805","-6,519",,"159,701","64,805","94,895",0.00,"450,303","245,408","204,895",0.00
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,497,"43,105","33,428","9,677",,"43,105","33,428","9,677",,"299,257","278,975","20,281",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,"24,359","103,871","98,092","5,778",,"309,080","98,092","210,987",,"533,610","106,648","426,961",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,"12,123","29,850","48,102","-18,252",,"37,617","48,102","-10,484",,"49,028","58,753","-9,725",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,"17,834","542,530","68,582","473,947",,"674,857","68,582","606,274",,"674,857","496,582","178,274",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,"36,384","194,471","154,619","39,851",,"504,935","154,619","350,316",,"688,200","306,737","381,463",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-13850,Initiative - Natural Hazards and Infrast,139,"12,434","-25,131","37,566",,"37,000","-25,131","62,131",,"37,000","-25,131","62,131",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-14234,Visualising the Impact of Mining Project,"8,785","12,955","8,785","4,169",,"270,910","8,785","262,124",,"270,910","8,785","262,124",
EXPENSES.PSBI,TOTAL EXPENSES,6203,Mahesh Prakash,R-91277,Group - Natural Systems Modelling,"34,905","114,173","111,742","2,431",,"339,740","112,074","227,666",,"339,740","112,074","227,666",
EXPENSES.PSBI,TOTAL EXPENSES,7702,Peter Toscas,R-91112,Data-Driven Enterprises Group - Operatin,"15,830","60,418","55,467","4,952",,"179,783","55,467","124,316",,"191,403","74,710","116,693",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-10441,Research Office Post doc Social Media (S,"28,819","126,784","114,349","12,434",,"377,264","114,349","262,914",,"1,152,386","853,635","298,751",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,"21,968","96,215","95,318",897,,"167,256","95,318","71,938",,"516,282","444,730","71,552",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-12271,PH FSP Medical Decision Support - DATA61,"13,814","56,492","56,254",238,,"168,099","56,254","111,845",,"267,090","155,733","111,357",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-12622,LASC Client-informed SocMedAnalysis Plat,,,,,,,,,,"286,590","266,590","20,000",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-12648,SLNSW: Multilingual NLP,109,"5,636","5,831",-196,,"5,636","5,831",-196,,"103,473","100,885","2,588",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-12793,Research Office Post doc Social Media (S,"26,184","117,034","114,803","2,231",,"348,249","114,803","233,446",,"988,894","361,620","627,275",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-12815,NDIS workforce needs,"8,464","41,485","39,301","2,184",,"112,481","39,301","73,180",,"364,076","188,934","175,142",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-12870,Pr19-3: Research Services Water Grant,"24,143","96,687","95,793",895,,"216,173","95,793","120,380",,"232,595","112,172","120,423",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-13814,Initiative: Social Insights and Market D,"9,464","40,441","33,339","7,102",,"120,337","33,339","86,998",,"120,337","33,339","86,998",
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-13939,Emergency Management: Tech surprise pape,,"13,405","13,405",0,,"13,405","13,405",0,,"13,405","13,405",0,
EXPENSES.PSBI,TOTAL EXPENSES,8008,Gavin Walker,R-14215,QLD Big Data Challenge: Detecting Cyberb,"38,960","41,548","38,960","2,588",,"240,795","38,960","201,835",,"240,795","38,960","201,835",
EXPENSES.PSBI,TOTAL EXPENSES,8716,Zili Zhu,R-03815,Fenics,"106,548","298,439","290,092","8,347",,"826,530","290,092","536,438",,"2,207,503","1,685,114","522,389",
EXPENSES.PSBI,TOTAL EXPENSES,8716,Zili Zhu,R-09886,ARC Linkage with Monash and Challenger B,"1,587","6,297","6,297",0,,"11,058","6,297","4,761",,"293,998","339,237","-45,239",
EXPENSES.PSBI,TOTAL EXPENSES,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,538,,538,-538,,,538,-538,,"113,332","116,082","-2,751",
EXPENSES.PSBI,TOTAL EXPENSES,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,"15,477","70,139","61,504","8,634",,"208,703","61,504","147,199",,"601,510","263,935","337,574",
EXPENSES.PSBI,TOTAL EXPENSES,8716,Zili Zhu,R-13848,Initiative: Risklab,289,"3,361","3,466",-105,,"10,000","3,466","6,534",,"10,000","3,466","6,534",
EXPENSES.PSBI,TOTAL EXPENSES,10873,Kimberley Clayfield,R-13229,SpaceFSP1 Bloom Prediction D61,,,,,,,,,,"4,399","4,399",0,
EXPENSES.PSBI,TOTAL EXPENSES,10873,Kimberley Clayfield,R-13297,SpaceFSP1 HSI Data Analytics D61,21,,21,-21,,,21,-21,,"5,429","5,450",-21,
EXPENSES.PSBI,TOTAL EXPENSES,10873,Kimberley Clayfield,R-13683,SpaceFSP2-08 OffEarth Resource Analytics,,,"56,390","-56,390",,,"56,390","-56,390",,,"56,390","-56,390",
EXPENSES.PSBI,TOTAL EXPENSES,10873,Kimberley Clayfield,R-13843,SpaceFSP2-07 HSI Data Analytics D61,"12,401","49,203","49,203",0,,"146,411","49,203","97,208",,"308,547","49,203","259,344",
EXPENSES.PSBI,TOTAL EXPENSES,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,"8,920","35,389","35,389",0,,"97,246","35,389","61,857",,"375,666","314,584","61,082",
EXPENSES.PSBI,TOTAL EXPENSES,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,"24,151","18,784","5,366",,"24,151","18,784","5,366",,"794,627","700,609","94,017",
EXPENSES.PSBI,TOTAL EXPENSES,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,"41,067","172,942","162,942","10,000",,"172,942","162,942","10,000",,"435,981","452,898","-16,918",
EXPENSES.PSBI,TOTAL EXPENSES,12951,Lachlan Hetherton,R-13576,Pr19-2 NSW SP: Forecasting school infras,,,,,,,,,,"229,413","229,413",0,
EXPENSES.PSBI,TOTAL EXPENSES,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"116,551","566,693","418,407","148,286",,"864,505","418,463","446,042",,"864,505","418,463","446,042",
EXPENSES.PSBI,TOTAL EXPENSES,12951,Lachlan Hetherton,R-13847,Initiative: Industrial Tfm,"2,163","6,049","9,953","-3,904",,"18,000","9,953","8,047",,"18,000","9,953","8,047",
EXPENSES.PSBI,TOTAL EXPENSES,15781,Simon Harrison,R-13851,Initiative: Digital Human,"2,211","2,689","2,302",387,,"8,000","2,302","5,699",,"8,000","2,302","5,699",
EXPENSES.PSBI,TOTAL EXPENSES,17118,Klara Verbyla,R-90435,Biological Data Science Group - Operatin,"25,700","117,836","103,761","14,075",,"350,641","103,761","246,880",,"410,641","217,987","192,654",0.00
EXPENSES.PSBI,TOTAL EXPENSES,17928,Melanie Ayre,R-91275,Group - Optimisation & Financial Risk An,"33,862","87,664","91,255","-3,591",,"260,856","97,843","163,013",,"260,856","97,843","163,013",
EXPENSES.PSBI,TOTAL EXPENSES,24939,Richard Nock,R-11055,On-Board health Monitoring,"34,185","133,675","134,467",-792,,"166,278","134,467","31,811",,"985,846","910,866","74,981",
EXPENSES.PSBI,TOTAL EXPENSES,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,"35,653","155,788","143,926","11,862",,"463,572","143,926","319,646",,"588,782","397,497","191,285",
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,"36,762","66,880","103,642","-36,762",,"66,880","103,642","-36,762",,"6,155,058","6,152,146","2,912",
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-09084,Critical water mains failure prediction,"13,376","53,074","53,074",0,,"92,771","53,074","39,697",,"302,185","263,017","39,168",
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-10940,TfNSW On Demand Transport,"5,067","20,105","20,105",0,,"25,010","20,105","4,905",,"173,341","168,436","4,905",
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-11084,Predictive Analytics for Acer,,,,,,,,,,"188,664","188,664",0,
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-11104,Corrosion analytics,,,,,,,,,,"200,702","200,702",0,
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-11685,Industry PhD - Bo Wang,"1,942","12,409","7,704","4,705",,"36,921","7,704","29,217",,"153,240","68,812","84,428",
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-13223,DVR Prof Yulin Jiang,,"5,000",,"5,000",,"5,000",,"5,000",,"15,000","11,860","3,140",
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-13514,CRP - Smart Infrastructure and Transport,,,"-63,750","63,750",,,"-374,469","374,469",,"931,234","556,765","374,469","374,496.00"
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-13857,Initiative: Transport and Logistics,"8,089","4,705","8,089","-3,384",,"14,000","8,089","5,911",,"14,000","8,089","5,911",
EXPENSES.PSBI,TOTAL EXPENSES,25065,Chen Cai,R-90433,Transport Analytics - Operating Costs,"28,336","125,433","125,555",-122,,"373,247","125,676","247,570",,"604,747","630,141","-25,394",0.00
EXPENSES.PSBI,TOTAL EXPENSES,27432,Tiffany Karitzis,R-90939,STEM Engagement Analytics,,,,,,,,,,1,,1,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-09316,RESEARCH - Biological Data Science,,,,,,,,,,"2,785","2,785",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-09657,Social media analytics with Signal,"57,888","90,109","85,900","4,209",,"92,900","85,900","7,000",,"259,237","252,237","7,000",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-09724,Carbon Digiscape FSP (Data61),"7,235","28,709","28,709",0,,"85,429","28,709","56,720",,"400,563","279,191","121,372",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10149,In-Kind AIM FSP_TB02_WP02: Integration o,,,,,,,,,,"171,136","171,136",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10231,In-Kind AIM FSP_TB10_WP01: Virtual AM,"8,416","33,393","33,393",0,,"99,366","33,393","65,973",,"317,018","251,189","65,829",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10243,In-Kind AIM FSP_TB04_WP05: Evolving one-,"20,813","82,583","82,583",0,,"245,737","82,583","163,154",,"592,737","429,583","163,154",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10246,In-kind AIM FSP_TB04_WP20: Designing Jam,"11,841","46,984","46,984",0,,"139,807","46,984","92,824",,"387,086","294,262","92,824",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10623,Collections Genomics Environomics FSP -,,,,,,,,,,"136,695","136,695",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10642,Soil Inverse Digiscape FSP In-kind Data6,"9,544","37,868","37,868",0,,"112,681","37,868","74,814",,"457,942","383,129","74,814",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10692,On Farm Expt Digiscape FSP In-kind Data6,"22,434","89,015","89,015",0,,"264,879","89,015","175,863",,"562,655","284,560","278,095",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-10819,Jobs Explorer,,,124,-124,,,124,-124,,1,733,-732,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-11479,Julius Award - Delaney,"1,114","11,762","1,114","10,649",,"35,000","1,114","33,887",,"104,985","42,481","62,504",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-11570,Bioinformatics Environomics FSP (IN KIND,"31,962","126,816","126,816",0,,"377,357","126,816","250,541",,"1,153,229","902,688","250,541",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-11754,Automated parking regulation solution,,,,,,,,,,"121,892","121,892",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,"336,234","294,945","41,289",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-11983,SCF Downscaling Digiscape FSP (Data61),"18,923","74,353","74,537",-184,,"221,249","74,537","146,711",,"659,675","280,938","378,736",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12177,Analytics on Inactives,,,,,,,,,,"211,924","211,924",-0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12296,IN KIND Tara Richman UWA Fellowship,"5,327","21,135","21,135",0,,"62,892","21,135","41,757",,"194,250","87,842","106,409",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12418,Happy Oyster - Challenge Project,,,,,,,,,,"155,753","155,753",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12496,Consumer trust of food quality - from me,,,,,,,,,,"92,300","92,300",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12521,ESA Business as Usual and Enhancements,"5,679","24,549","22,533","2,016",,"73,051","22,533","50,518",,"165,972","115,486","50,487",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12560,V/Line Performance MVP,,,,,,,,,,"238,078","238,078",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12643,Robust Learning for Decision Making,"51,529","204,454","207,389","-2,935",,"496,327","207,389","288,939",,"988,715","490,411","498,304",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12803,Data-driven timetable evaluation model d,,,,,,,,,,"180,005",,"180,005",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-12899,Review of NAMP 2018,,,,,,,,,,"20,013","20,013",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13030,Your Data Your Regions 2,"6,830","30,443","27,101","3,342",,"45,541","27,101","18,440",,"109,150","91,560","17,590",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13036,Monash - IITB Students,,"14,403",,"14,403",,"42,858",,"42,858",,"150,000","64,286","85,714",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13293,Workflow Optimisation,"8,337","37,089","33,079","4,011",,"55,483","33,079","22,405",,"86,659","61,723","24,936",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13460,CRP - MLAI FSP Trustworth Learning from,"5,327","21,135","21,135",0,0.00,"62,892","21,135","41,757",0.00,"1,299,061","1,623,823","-324,762",0.00
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13598,Towards noninvasive diagnosis of malaria,"5,428","18,734","18,951",-217,,"49,766","18,951","30,815",,"105,690","29,948","75,742",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13666,Risk Modelling Methodologies for NESA,,"71,179","66,258","4,921",,"71,179","66,258","4,921",,"91,341","86,420","4,921",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13676,Pr19-8 NSW-SP: Timetable robustness (Ext,,,,,,,,,,"180,000",,"180,000",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13677,Pr19-9 NSW-SP: Timetable Robustness (Ext,,,,,,,,,,"50,000",,"50,000",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13854,Spark licensing,"1,314","5,816","5,213",603,,"14,468","5,213","9,255",,"14,468","5,213","9,255",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13879,In-kind AIM FSP_TB02_WP06: Computational,"21,413","60,197","60,197",0,,"228,043","60,197","167,846",,"703,439","60,197","643,242",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,"16,518","49,298","48,795",503,,"179,508","48,795","130,713",,"324,520","48,795","275,725",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13941,DoEE PDF-Knowledge Graph Processing,"25,046","97,685","94,658","3,027",,"302,320","94,658","207,663",,"302,320","94,658","207,663",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13968,New comminution device (MSI) stages 1 an,"19,467","50,866","50,866",0,,"89,172","50,866","38,306",,"89,172","50,866","38,306",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-13973,R and Data mining course,52,"31,448","31,576",-128,,"31,448","31,576",-128,,"31,448","31,576",-128,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-14063,Student Agreement - Post Grad,,"15,963","3,500","12,463",,"47,500","3,500","44,000",,"125,500","3,500","122,000",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-14072,Social Watch 2.0 Phase 2,"83,031","214,778","206,377","8,402",,"521,901","206,377","315,525",,"521,901","206,377","315,525",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-14173,CRP- Analytics & Decsion Sciences,"12,564","14,820","12,564","2,256",,"44,099","12,564","31,535",,"89,938","12,564","77,374",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-14261,PBSP Schedule 9 - Data Transition Part B,"2,522","2,859","2,522",338,,"35,760","2,522","33,238",,"35,760","2,522","33,238",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-14309,Study to machine learning methods to tra,,,,,,"40,169",,"40,169",,"40,169",,"40,169",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-14320,Sydney Harbour Bridge R&D Retainer Nov-D,,,,,,"58,395",,"58,395",,"58,395",,"58,395",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-14323,NSSMC Spray Cooling Software Product,,"19,239",,"19,239",,"170,056",,"170,056",,"299,416",,"299,416",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-90148,Analytics Program - Travel and Operating,"14,966",,"21,554","-21,554",,,"21,644","-21,644",,"1,301,985","1,164,144","137,841",0.00
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-90149,Analytics Program - Small Consultancies,"19,089","75,738","75,738",0,,"225,367","75,738","149,629",,"732,665","280,424","452,241",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-90150,Analytics Program R02P05 - IP Costs,,,,,,,,,,1,263,-262,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-90152,"Analytics - Visitor, Stud, Fellow, Inter",,,,,,,,,,"344,004","145,102","198,902",0.00
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-90546,CRP- Analytics,"43,274","205,671","152,857","52,813",365.00,"597,583","58,407","539,176","283,718.00","2,934,463","1,585,585","1,348,878","468,638.00"
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-90589,DS - CRP,"123,725","634,662","438,225","196,437","39,400.00","1,319,738","73,646","1,246,092","536,991.00","9,272,093","6,461,642","2,810,451","953,230.00"
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-90676,Analytics Program - Awards & Grants,,,,,,,,,,"17,500","9,065","8,435",
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-91103,Australian Startup Ecosystem,,,,,,,,,,"12,908","12,908",0,
EXPENSES.PSBI,TOTAL EXPENSES,#,Not assigned,R-91362,ANU Teaching,"16,557","16,557","16,557",0,,"33,648","16,557","17,091",,"33,648","16,557","17,091",
SALARIES.PSBI,Labour,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,"2,762","10,960","10,960",0,,"32,612","10,960","21,652",,"95,061","73,408","21,652",
SALARIES.PSBI,Labour,1343,Paul Cleary,R-11187,NSSMC Spray Cooling Stage 3B,,"11,911","11,911",0,,"11,911","11,911",0,,"28,982","28,982",-0,
SALARIES.PSBI,Labour,1343,Paul Cleary,R-11440,Millsim extension,,,,,,,,,,"42,347","42,347",0,
SALARIES.PSBI,Labour,1343,Paul Cleary,R-12652,Seed termination: stage 1,,,,,,,,,,"57,111","57,111",0,
SALARIES.PSBI,Labour,1343,Paul Cleary,R-13387,DEM simulation of a 36’ SAG mill,767,"3,585","3,585",0,,"3,585","3,585",0,,"10,368","10,368",0,
SALARIES.PSBI,Labour,1872,Gary Delaney,R-91283,Group - Computational Modelling,"11,777","44,667","45,222",-554,,"132,916","45,222","87,695",,"132,916","45,222","87,695",
SALARIES.PSBI,Labour,3306,Brent Henderson,R-11610,SAGI-North Project,"2,575","10,218","10,218",0,,"30,405","10,218","20,187",,"97,301","45,950","51,351",
SALARIES.PSBI,Labour,3306,Brent Henderson,R-12581,Deep Earth Imaging Post-doc Supervision,"3,029","12,018","12,018",0,,"35,762","12,018","23,744",,"126,814","47,472","79,341",
SALARIES.PSBI,Labour,3306,Brent Henderson,R-12646,LineSight ongoing development,,,,,,,,,,"63,886","63,886",0,
SALARIES.PSBI,Labour,3306,Brent Henderson,R-12962,Armadillo development + engagement,"1,336","5,303","5,303",0,,"15,779","5,303","10,476",,"31,368","20,891","10,476",
SALARIES.PSBI,Labour,3306,Brent Henderson,R-13504,Improving process efficiency and certain,"7,063","28,027","28,027",0,,"65,854","28,027","37,827",,"67,862","30,035","37,827",
SALARIES.PSBI,Labour,3306,Brent Henderson,R-13720,PFOD-OzCrop,"18,287","72,559","72,559",-0,,"215,912","72,559","143,353",,"215,912","72,559","143,353",
SALARIES.PSBI,Labour,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,"15,953","62,361","62,597",-237,,"185,567","62,597","122,970",,"185,567","63,436","122,131",
SALARIES.PSBI,Labour,4203,Petra Kuhnert,R-09498,Uncertainty Digiscape In-kind Data61,"2,998","11,898","11,898",0,,"35,403","11,898","23,506",,"166,703","143,198","23,506",
SALARIES.PSBI,Labour,5858,Cecile Paris,R-91279,Group - Knowledge Discovery & Management,"18,564","51,200","56,860","-5,660",,"152,355","56,860","95,495",,"152,355","56,860","95,495",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,,,,,,,,"60,622","60,653",-31,
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,"1,817","7,211","7,211",0,,"21,457","7,211","14,246",,"67,441","53,194","14,246",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,"11,042","43,813","43,813",0,,"130,370","43,813","86,557",,"389,218","202,445","186,773",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-11916,Transferable Integrated tools for the cl,"12,816","18,173","23,895","-5,722",,"54,073","23,895","30,178",0.00,"162,540","132,362","30,178",0.00
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,"23,048","38,980","45,499","-6,519",,"106,802","45,499","61,303",0.00,"302,542","141,239","161,303",0.00
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,,"17,247","17,247",-0,,"17,247","17,247",-0,,"121,580","139,892","-18,312",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,"13,114","52,032","52,035",-3,,"154,828","52,035","102,793",,"275,381","55,643","219,738",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,"6,854","27,197","27,197",0,,"34,273","27,197","7,076",,"53,133","46,057","7,076",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,"9,431","507,712","37,418","470,294",,"631,546","37,418","594,128",,"631,546","37,418","594,128",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,"20,011","122,962","86,778","36,185",,"321,064","86,778","234,286",,"431,051","167,618","263,433",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-13850,Initiative - Natural Hazards and Infrast,,"7,730",,"7,730",,"23,000",,"23,000",,"23,000",,"23,000",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-14234,Visualising the Impact of Mining Project,"3,343","10,869","3,343","7,525",,"227,301","3,343","223,958",,"227,301","3,343","223,958",
SALARIES.PSBI,Labour,6203,Mahesh Prakash,R-91277,Group - Natural Systems Modelling,"12,548","49,787","49,787",0,,"148,151","49,787","98,364",,"148,151","49,787","98,364",
SALARIES.PSBI,Labour,7702,Peter Toscas,R-91112,Data-Driven Enterprises Group - Operatin,"6,058","24,036","24,126",-90,,"71,523","24,126","47,397",,"71,523","26,659","44,864",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-10441,Research Office Post doc Social Media (S,"16,387","65,022","65,022",0,,"193,482","65,022","128,460",,"571,732","447,372","124,359",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,"12,492","49,563","49,563",0,,"85,439","49,563","35,876",,"263,851","227,975","35,876",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-12271,PH FSP Medical Decision Support - DATA61,"7,855","31,168","31,168",0,,"92,744","31,168","61,576",,"138,636","77,060","61,576",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-12622,LASC Client-informed SocMedAnalysis Plat,,,,,,,,,,"141,673","141,673",0,
SALARIES.PSBI,Labour,8008,Gavin Walker,R-12648,SLNSW: Multilingual NLP,35,"3,205","3,205",0,,"3,205","3,205",0,,"49,884","49,884",0,
